geocode,Forecast_Year,Pred_R0,Pred_Peak_Week,Pred_Total_Cases_Log,Pred_Total_Cases,Pred_Alpha,Pred_Beta
5106281,2026,1.4941546,12.419563,5.0135374,149,0.3376992,0.45923716
5106299,2026,1.4893374,15.013143,6.344553,568,0.32534266,0.45336795
5106307,2026,1.48548,23.193138,5.8844776,358,0.32882223,0.45658267
5106372,2026,1.6350818,15.60148,4.4925494,88,0.39619282,0.48821086
5106422,2026,1.5171382,17.58353,6.1427746,464,0.34607708,0.45362294
5106455,2026,1.909404,16.24168,5.3319163,205,0.4765269,0.5831458
5106505,2026,1.9163947,15.35127,5.518546,248,0.4813593,0.5761578
5106653,2026,1.5229644,17.263838,5.4758673,237,0.34909838,0.4593342
5106703,2026,1.6303502,17.924965,5.6867995,293,0.38367432,0.4789245
5106752,2026,1.5904261,19.074432,6.5434904,693,0.37781838,0.4804297
5106778,2026,2.297005,11.41026,5.2685723,193,0.5751099,0.6843456
5106802,2026,1.5200701,23.803791,5.2655745,192,0.3456254,0.47849888
5106828,2026,1.6762544,22.775707,4.7662425,116,0.40927187,0.51901394
5107008,2026,2.1709569,10.54121,5.447459,231,0.5415354,0.6547239
5107040,2026,1.5090632,18.652672,7.3253245,1517,0.34354958,0.46574742
5107065,2026,1.83322,20.704838,6.0997458,444,0.45804647,0.55841565
5107107,2026,1.8381206,17.450348,5.6096706,272,0.46409577,0.5533289
5107156,2026,1.9881176,15.56782,4.7336993,112,0.50160384,0.61629623
5107180,2026,1.4111226,21.860155,5.051102,155,0.27866766,0.42910206
5107198,2026,2.5935686,13.237803,4.7530723,114,0.617684,0.77202547
5107206,2026,1.8736184,17.441414,5.3214955,203,0.47559556,0.55180573
5107248,2026,1.8170729,15.104745,5.484905,240,0.457885,0.5487319
5107263,2026,2.1367877,19.364534,4.2452455,68,0.533159,0.6358216
5107297,2026,2.0255044,21.637125,4.5671463,95,0.5091633,0.6113341
