geocode,graph_emb_0,graph_emb_1,graph_emb_2,graph_emb_3,graph_emb_4,graph_emb_5,graph_emb_6,graph_emb_7,graph_emb_8,graph_emb_9,graph_emb_10,graph_emb_11,graph_emb_12,graph_emb_13,graph_emb_14,graph_emb_15
2923035,0.024908790855743945,0.01275090054405928,-0.0209673615243888,0.004861209463769261,-0.016199900991231447,-0.0036326138522644927,0.0010624671307081536,-0.0013457078087264348,-0.007420071042255023,-4.425003847784992e-15,-1.6727711470581235e-15,-1.2344699928672589e-15,-6.1624071797252165e-15,-3.044276545341521e-15,-1.0742984515079703e-15,-2.5176677277607364e-15
2923100,-0.005606004453247982,0.009167256730163095,0.006896724667171207,0.014017115039826422,-0.0062109521915498424,-0.010029658112630782,-0.008165080351326275,-0.007879046556295071,-0.0022066275944426757,1.22239779707108e-15,4.231954301889781e-16,-8.727070301010897e-16,-3.6996731580115655e-15,-1.9734022602796793e-15,-5.466243480602086e-16,-3.905692793421934e-16
2923209,-0.0248205049294361,-0.0005869167652080775,0.012127743100474271,-0.0032444320609384854,0.008316551733964998,0.00942867518761445,-0.0008786879353931479,-0.007962130617745148,-0.007645180080725866,4.1008328977324685e-15,1.1970446498826131e-15,6.912564940571701e-17,9.583499787614952e-16,2.869673888548495e-16,2.326256346230136e-16,2.0238046054458743e-15
2923308,-0.011066141806242361,0.021845085873631376,0.005364765005910953,-0.059172771281002665,0.025678481879331076,-0.046810321932900835,0.030786733104139912,-0.037947061013639635,0.016644909758377183,-1.9090788757804347e-15,-5.501888425831802e-16,-1.743785425453918e-15,-8.539600435522298e-15,-4.475991468934682e-15,-1.4505269815140442e-15,8.227741835010746e-15
2923357,-0.013900071238809208,-0.009188608432390041,0.013761769090957712,0.012214347158577736,0.005622487590934637,0.008163596124353066,0.02134803825591284,-0.01002171836640233,0.01649227024365704,3.714301803988584e-15,8.27727317598796e-16,1.090525674715219e-15,4.160163233763128e-15,2.214960981813134e-15,8.209757562181986e-16,2.9249887016293274e-16
2923407,-0.00550960571906803,-0.0018266923464309148,-0.00035268146773421587,0.0063429697379906655,-0.0018078273935973038,0.0020174678573280386,0.0069595346109300165,-0.003242146708860542,0.004950039626547329,-1.6979068387643324e-15,-2.9484533210686875e-16,8.840670529548683e-16,-1.0508754382400001e-15,5.036306825513177e-16,1.4488733732026873e-15,-5.065950067397968e-16
2923605,-0.02157047550117774,0.006657567886330444,-0.009506095224368412,-0.005529554495723149,-0.0034727615492405194,-0.006671708060277748,0.019942853136670633,0.008792101718988407,-0.009152781469911452,1.0776982665913902e-16,-9.511947612034029e-16,-5.935629875186264e-16,-3.113839665759319e-15,-1.549817366678389e-15,-5.246996943139191e-16,-6.425025610233372e-17
2923704,0.015944613297278146,-0.006963397838772878,-0.01733878509624397,-0.002615728787892591,0.005641260232115611,-0.01296127814138711,-0.01608651518903624,0.013964312865386703,0.011404280778439777,1.958761793850767e-15,6.607004344353435e-16,5.939239462684241e-16,3.1786622377902884e-15,1.6635016427362007e-15,5.542128632951007e-16,6.237453125552948e-16
2923902,0.0045867443621631036,-0.0032127952230508365,-0.0012620605913681788,0.0031469675966051608,0.0014874744472483882,-0.003430214186236665,0.000784782642359527,-0.0008686419999679411,0.00409782385999991,1.042563512292193e-15,5.247418616651378e-16,2.3691948916633303e-16,1.476556399448065e-15,7.812445266932739e-16,3.2235670516510837e-16,-5.465042211994314e-17
2924009,-0.0067126344219729265,0.004478127032749629,0.015097226192115024,-0.0018871842311257616,-0.002599017369554658,0.020634330014865625,0.012457745859595864,-0.005106645645658013,-0.004090650015338976,-1.6589835528834706e-15,-1.0565193674835266e-15,-5.205995738082937e-16,-1.8102592003750644e-15,-8.127097188029851e-16,-4.999848971668778e-16,-1.7273701733499768e-16
2924058,-0.009453134836272995,-0.0034817870788686174,0.033930753515917546,-0.02584593290780147,-0.0022548620670254614,0.0021302862707334893,-0.02251953722786433,0.031936837298730245,0.019924940763182374,-1.1153363456282267e-15,1.6111573777423507e-16,1.2142983166563145e-16,1.3575825466948785e-15,8.0423595179578e-16,1.0658629666139598e-16,-9.354983743526602e-16
2924108,-0.002357169434376092,0.008379127417344931,0.005518239160268494,-0.00959669456932587,-0.006032912822400912,0.0035170661720524427,-0.0018815621966482023,0.010623914376622317,0.008273690123906515,1.5063365626674872e-15,3.4710749248197437e-16,-8.229296481622202e-16,-3.4076889398443985e-15,-1.8066283942380497e-15,-5.072921483414448e-16,-4.718879226703244e-16
2924207,-0.0390963524849068,0.01891680512639843,0.0005198978222407121,-0.0027191525422906662,0.003188879160910564,-0.04312266679316189,0.024251113974291156,0.04381334919989928,-0.028667789470388092,-3.0012693278648575e-16,-7.079475915290553e-16,-1.6656091463056991e-15,-7.995605244986483e-15,-4.077616646105334e-15,-1.2724989201491155e-15,2.87811145308376e-15
2924405,-0.003334736378114719,0.0012785819134014918,-0.0016769780149956438,-0.002452220434664301,-0.002517651003869783,0.0036887402739126636,0.004719026077643625,0.0009693998348358407,0.001630540583902922,-3.514726260473478e-16,1.838454257305516e-17,-1.0453552403941525e-16,-6.296582823234475e-16,-3.2460977619313773e-16,-1.2270100083335583e-16,-3.63659888503214e-16
2924504,-0.005509605719068038,-0.001826692346430909,-0.00035268146773421603,0.006342969737990649,-0.0018078273935973038,0.002017467857328033,0.006959534610930005,-0.003242146708860537,0.004950039626547365,-1.6289496160388575e-15,-3.6605062821737447e-16,7.222137176774533e-16,-6.297524346191595e-16,4.415597852214531e-16,1.0034379530290231e-15,-5.191431769041492e-16
2924702,0.00861151871784861,0.01561571514009439,0.01732649619210058,-0.019368724696390102,0.003346016767167814,0.018936062413317613,0.0025271349803286,-0.005363898813119681,-0.03293850602688763,4.655567322237799e-15,1.6908512371837847e-15,-1.3547928178021441e-15,-5.6145891861305526e-15,-3.003214065292906e-15,-7.842813583899128e-16,2.767095614942923e-15
2924801,0.0014726109223853953,0.0019426119809005415,-0.001088797552417508,-0.002014714803301339,-0.00015126907655078114,3.600490177394092e-07,-0.0020532931414768843,0.0003279719490744948,-0.00332166312647985,4.721660740783411e-18,4.460487362010334e-16,-2.270622131658161e-16,-7.603001731503958e-16,-2.7299062677103406e-16,-1.2841624349309442e-16,2.4062329776293454e-16
2924900,0.02476155478273873,0.02142245827178549,0.006178402167261938,-0.03241980211849754,0.013813919691377715,0.007745536487374314,-0.026459052483096886,0.004198923830010893,-0.05456044328616542,1.0877881534936027e-14,3.6001850945530045e-15,-2.0428031831832583e-15,-6.96089681026535e-15,-4.064512819371319e-15,-7.964337400841702e-16,6.10948511698104e-15
2925006,-0.007340398365023302,0.003757402033994975,0.0039107984893278795,-0.0008927756683413442,-0.0027109849609955696,0.006280272643241758,0.006005328585011399,-0.004764163020508741,-0.007395539023589733,-1.3100001636945119e-15,-4.482981261927083e-16,-1.7104615636956202e-16,-1.7067311096654737e-15,-8.679542439977226e-16,-3.249076242951035e-16,-2.888969561848069e-16
